Date,Open,High,Low,Close,Volume,,5MA,20MA,Date,5MA-20MA,
11/11/14,3.61,3.65,3.56,3.62,1765600,3.62,3.706,3.355,11/11/14,0.351,DOWN
11/12/14,3.6,3.65,3.52,3.61,1905200,3.61,3.66,3.383,11/12/14,0.278,DOWN
11/13/14,3.61,3.63,3.49,3.53,1339000,3.53,3.622,3.403,11/13/14,0.22,DOWN
11/14/14,3.54,3.63,3.53,3.62,862000,3.62,3.596,3.431,11/14/14,0.166,DOWN
11/17/14,3.61,3.63,3.51,3.52,1097800,3.52,3.58,3.454,11/17/14,0.126,DOWN
11/18/14,3.55,3.65,3.55,3.6,1171400,3.6,3.576,3.478,11/18/14,0.098,DOWN
11/19/14,3.62,3.62,3.53,3.54,1218600,3.54,3.562,3.507,11/19/14,0.055,DOWN
11/20/14,3.52,3.59,3.5,3.58,1168200,3.58,3.572,3.526,11/20/14,0.046,DOWN
11/21/14,3.64,3.69,3.56,3.56,1541000,3.56,3.56,3.544,11/21/14,0.016,DOWN
11/24/14,3.55,3.72,3.55,3.69,2517900,3.69,3.594,3.57,11/24/14,0.024,UP
11/25/14,3.7,3.76,3.65,3.75,2141000,3.75,3.624,3.596,11/25/14,0.028,UP
11/26/14,3.74,3.75,3.68,3.72,838100,3.72,3.66,3.619,11/26/14,0.041,UP
11/28/14,3.71,3.74,3.67,3.7,535500,3.7,3.684,3.637,11/28/14,0.047,UP
12/01/14,3.68,3.73,3.59,3.6,,,3.692,3.643,12/01/14,0.049,UP
12/02/14,3.6,3.66,3.56,3.62,,,3.678,3.64,12/02/14,0.038,DOWN
12/03/14,3.61,3.7,3.61,3.66,,,3.66,3.642,12/03/14,0.019,DOWN
12/04/14,3.65,3.67,3.54,3.56,,,3.628,3.628,12/04/14,0.001,DOWN
12/05/14,3.55,3.72,3.55,3.71,,,3.63,3.627,12/05/14,0.003,UP
12/08/14,3.69,3.78,3.66,3.74,,,3.658,3.627,12/08/14,0.032,UP
12/09/14,3.71,3.86,3.65,3.84,,,3.702,3.639,12/09/14,0.063,UP
12/10/14,3.8,3.87,3.68,3.7,,,3.71,3.643,12/10/14,0.067,UP
12/11/14,3.78,3.88,3.75,3.78,,,3.754,3.651,12/11/14,0.103,UP
12/12/14,3.73,3.81,3.64,3.64,,,3.74,3.657,12/12/14,0.083,DOWN
12/15/14,3.67,3.74,3.62,3.63,,,3.718,3.657,12/15/14,0.061,DOWN
12/16/14,3.62,3.75,3.62,3.65,,,3.68,3.664,12/16/14,0.017,DOWN
12/17/14,3.66,3.8,3.63,3.77,,,3.694,3.672,12/17/14,0.022,UP
12/18/14,3.84,3.94,3.79,3.93,,,3.724,3.692,12/18/14,0.032,UP
12/19/14,3.91,3.98,3.89,3.93,,,3.782,3.709,12/19/14,0.073,UP
12/22/14,3.95,3.98,3.9,3.95,,,3.846,3.729,12/22/14,0.117,UP
12/23/14,4,4.03,3.91,3.95,,,3.906,3.742,12/23/14,0.165,UP
12/24/14,3.94,4.04,3.94,4,,,3.952,3.754,12/24/14,0.198,UP
12/26/14,4.03,4.03,3.91,3.98,,,3.962,3.767,12/26/14,0.195,DOWN
12/29/14,4.04,4.09,3.96,4.04,,,3.984,3.784,12/29/14,0.2,UP
12/30/14,4.01,4.14,4.01,4.11,,,4.016,3.81,12/30/14,0.207,UP
12/31/14,4.14,4.16,3.96,3.97,,,4.02,3.827,12/31/14,0.193,DOWN
01/02/15,4.01,4.15,4.01,4.11,,,4.042,3.85,01/02/15,0.193,DOWN
01/05/15,4.09,4.1,3.92,3.95,,,4.036,3.869,01/05/15,0.167,DOWN
01/06/15,3.98,3.98,3.77,3.78,,,3.984,3.873,01/06/15,0.112,DOWN
01/07/15,3.84,3.96,3.77,3.92,,,3.946,3.882,01/07/15,0.065,DOWN
01/08/15,3.75,3.89,3.7,3.87,,,3.926,3.883,01/08/15,0.043,DOWN
01/09/15,3.86,3.91,3.81,3.87,,,3.878,3.892,01/09/15,-0.014,DOWN
01/12/15,3.86,3.87,3.75,3.75,,,3.838,3.89,01/12/15,-0.052,DOWN
01/13/15,3.78,3.87,3.68,3.75,,,3.832,3.896,01/13/15,-0.063,DOWN
01/14/15,3.69,3.76,3.62,3.7,,,3.788,3.899,01/14/15,-0.111,DOWN
01/15/15,3.72,3.73,3.55,3.57,,,3.728,3.895,01/15/15,-0.167,DOWN
01/16/15,3.55,3.66,3.55,3.65,,,3.684,3.889,01/16/15,-0.205,DOWN
01/20/15,3.67,3.7,3.52,3.52,,,3.638,3.869,01/20/15,-0.231,DOWN
01/21/15,3.5,3.65,3.5,3.61,,,3.61,3.853,01/21/15,-0.243,DOWN
01/22/15,3.65,3.67,3.54,3.65,,,3.6,3.838,01/22/15,-0.238,UP
01/23/15,3.65,3.78,3.56,3.71,,,3.628,3.826,01/23/15,-0.198,UP
01/26/15,3.71,3.81,3.68,3.79,,,3.656,3.815,01/26/15,-0.159,UP
01/27/15,3.73,,,3.75,,,3.702,3.804,01/27/15,-0.102,UP
